what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1460325236673
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1460325236674
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1460325236675
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1460325236676
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1460325236676
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1460325236676
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1460325236690
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1460325236690
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1460325236691
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1460325236691
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1460325236692
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1460325236719
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1460325236720
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1460325236720
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1460325236720
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1460325236720
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1460325236737
os,sysinfo,,,"linux",1460325236738
arch,sysinfo,,,"x86_64",1460325236738
ws,sysinfo,,,"gtk",1460325236738
locale,sysinfo,,,"en_IN",1460325236738
processors,sysinfo,,,"4",1460325236738
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1460325236738
java.runtime.version,sysinfo,,,"1.7.0_95-b00",1460325236738
java.specification.name,sysinfo,,,"Java Platform API Specification",1460325236738
java.specification.vendor,sysinfo,,,"Oracle Corporation",1460325236738
java.specification.version,sysinfo,,,"1.7",1460325236738
java.vendor,sysinfo,,,"Oracle Corporation",1460325236738
java.version,sysinfo,,,"1.7.0_95",1460325236738
java.vm.info,sysinfo,,,"mixed mode",1460325236738
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1460325236738
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1460325236738
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1460325236738
java.vm.specification.version,sysinfo,,,"1.7",1460325236738
java.vm.vendor,sysinfo,,,"Oracle Corporation",1460325236738
java.vm.version,sysinfo,,,"24.95-b01",1460325236738
activated,view,org.eclipse.ui.navigator.resources,3.4.400.dist,"org.eclipse.ui.navigator.ProjectExplorer",1460325238251
activated,view,org.eclipse.ui.navigator.resources,3.4.400.dist,"org.eclipse.ui.navigator.ProjectExplorer",1460325238271
closed,view,org.eclipse.ui,3.8.0.dist,"org.eclipse.ui.internal.introview",1460325238286
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460325245123
executed,command,org.eclipse.ui.ide,3.8.1.dist,"org.eclipse.ui.edit.text.openLocalFile",1460325247960
activated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460325247965
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460325251391
executed,command,org.eclipse.ui.externaltools,3.2.100.dist,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1460325253991
activated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460325254037
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460325259993
executed,command,org.eclipse.ui.ide,3.8.1.dist,"org.eclipse.ui.edit.text.openLocalFile",1460325283784
activated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460325283794
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460325285739
executed,command,org.eclipse.ui,3.8.0.dist,"org.eclipse.ui.newWizard",1460325287197
activated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460325287224
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460325290636
started,bundle,org.eclipse.core.filesystem,1.3.200.dist,"org.eclipse.core.filesystem",1460325305738
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1460325305958
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1460325306078
started,bundle,org.eclipse.jdt.launching,3.6.100.dist,"org.eclipse.jdt.launching",1460325306640
started,bundle,org.eclipse.ltk.core.refactoring,3.6.0.dist,"org.eclipse.ltk.core.refactoring",1460325307264
started,bundle,org.eclipse.ltk.ui.refactoring,3.7.0.dist,"org.eclipse.ltk.ui.refactoring",1460325307723
started,bundle,org.eclipse.compare.core,3.5.200.dist,"org.eclipse.compare.core",1460325307860
opened,editor,org.eclipse.jdt.ui,3.8.1.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1460325307933
activated,editor,org.eclipse.jdt.ui,3.8.1.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1460325308292
executed,command,org.eclipse.ui.ide,3.8.1.dist,"org.eclipse.ui.edit.text.openLocalFile",1460325308373
activated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460325308390
activated,view,org.eclipse.ui.navigator.resources,3.4.400.dist,"org.eclipse.ui.navigator.ProjectExplorer",1460325308472
started,bundle,org.eclipse.jdt.apt.core,3.3.500.dist,"org.eclipse.jdt.apt.core",1460325309535
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.dist,"org.eclipse.jdt.apt.pluggable.core",1460325309553
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460325312553
executed,command,org.eclipse.ui.externaltools,3.2.100.dist,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1460325314580
activated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460325314623
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460325316145
activated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460325319579
started,bundle,org.eclipse.wb.core.ui,1.3.0.r37x201202052340,"org.eclipse.wb.core.ui",1460325326574
executed,command,org.eclipse.ui,3.8.0.dist,"org.eclipse.ui.navigate.collapseAll",1460325331557
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460325338959
closed,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460325340838
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.dist,"org.eclipse.equinox.p2.ui.sdk",1460325341196
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.400.dist,"org.eclipse.pde.api.tools.ui",1460325341205
stopped,bundle,org.eclipse.pde.ds.ui,1.0.200.dist,"org.eclipse.pde.ds.ui",1460325341215
stopped,bundle,org.eclipse.pde.runtime,3.4.300.dist,"org.eclipse.pde.runtime",1460325341225
stopped,bundle,org.eclipse.pde.ua.ui,1.0.200.dist,"org.eclipse.pde.ua.ui",1460325341234
stopped,bundle,org.eclipse.pde.ui.templates,3.4.500.dist,"org.eclipse.pde.ui.templates",1460325341286
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,1.3.0.r37x201202021427,"org.eclipse.wb.rcp.SWT_AWT",1460325341286
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,1.3.0.r37x201202010053,"org.eclipse.wb.rcp.databinding.emf",1460325341300
stopped,bundle,org.eclipse.wb.rcp.databinding.xwt,1.3.0.r37x201202061752,"org.eclipse.wb.rcp.databinding.xwt",1460325341309
stopped,bundle,org.eclipse.wb.rcp.databinding,1.3.0.r37x201202010053,"org.eclipse.wb.rcp.databinding",1460325341309
stopped,bundle,org.eclipse.wb.rcp.nebula,1.3.0.r37x201202010053,"org.eclipse.wb.rcp.nebula",1460325341311
stopped,bundle,org.eclipse.wb.rcp.swing2swt,1.3.0.r37x201202010053,"org.eclipse.wb.rcp.swing2swt",1460325341330
stopped,bundle,org.eclipse.wb.xwt,1.3.0.r37x201202061752,"org.eclipse.wb.xwt",1460325341330
stopped,bundle,org.eclipse.wb.rcp,1.3.0.r37x201202010053,"org.eclipse.wb.rcp",1460325341331
stopped,bundle,org.eclipse.pde.ui,3.7.1.dist,"org.eclipse.pde.ui",1460325341357
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1460325341366
activated,perspective,org.eclipse.ui.ide.application,,"org.eclipse.ui.resourcePerspective",1460739726445
started,bundle,org.eclipse.osgi,3.8.1.dist,"org.eclipse.osgi",1460739726446
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.301.dist,"org.eclipse.equinox.simpleconfigurator",1460739726447
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1460739726447
started,bundle,org.apache.felix.gogo.command,0.12.0,"org.apache.felix.gogo.command",1460739726448
started,bundle,org.apache.felix.gogo.runtime,0.10.0,"org.apache.felix.gogo.runtime",1460739726449
started,bundle,org.apache.felix.gogo.shell,0.10.0,"org.apache.felix.gogo.shell",1460739726449
started,bundle,org.eclipse.compare.core,3.5.200.dist,"org.eclipse.compare.core",1460739726450
started,bundle,org.eclipse.core.contenttype,3.4.200.dist,"org.eclipse.core.contenttype",1460739726450
started,bundle,org.eclipse.core.databinding.observable,1.4.1.dist,"org.eclipse.core.databinding.observable",1460739726451
started,bundle,org.eclipse.core.expressions,3.4.400.dist,"org.eclipse.core.expressions",1460739726452
started,bundle,org.eclipse.core.filebuffers,3.5.200.dist,"org.eclipse.core.filebuffers",1460739726452
started,bundle,org.eclipse.core.filesystem,1.3.200.dist,"org.eclipse.core.filesystem",1460739726453
started,bundle,org.eclipse.core.jobs,3.5.200.dist,"org.eclipse.core.jobs",1460739726453
started,bundle,org.eclipse.core.net,1.2.200.dist,"org.eclipse.core.net",1460739726454
started,bundle,org.eclipse.core.resources,3.8.1.dist,"org.eclipse.core.resources",1460739726454
started,bundle,org.eclipse.core.runtime,3.8.0.dist,"org.eclipse.core.runtime",1460739726455
started,bundle,org.eclipse.core.runtime.compatibility,3.2.200.dist,"org.eclipse.core.runtime.compatibility",1460739726455
started,bundle,org.eclipse.debug.core,3.7.100.dist,"org.eclipse.debug.core",1460739726456
started,bundle,org.eclipse.debug.ui,3.8.1.dist,"org.eclipse.debug.ui",1460739726468
started,bundle,org.eclipse.equinox.app,1.3.100.dist,"org.eclipse.equinox.app",1460739726469
started,bundle,org.eclipse.equinox.common,3.6.100.dist,"org.eclipse.equinox.common",1460739726469
started,bundle,org.eclipse.equinox.console,1.0.0.dist,"org.eclipse.equinox.console",1460739726470
started,bundle,org.eclipse.equinox.ds,1.4.0.dist,"org.eclipse.equinox.ds",1460739726470
started,bundle,org.eclipse.equinox.event,1.2.200.dist,"org.eclipse.equinox.event",1460739726471
